"DIAS" "VIEWS" "INSCRITOS" "CANAL"
"145" 145 17800 0.00265 "inventonahora"
"146" 146 18200 0.00312 "inventonahora"
"147" 147 20000 0.00314 "inventonahora"
"148" 148 21180 0.00291 "inventonahora"
"149" 149 21190 0.00314 "inventonahora"
"150" 150 23800 0.00348 "inventonahora"
"151" 151 35700 0.00596 "inventonahora"
"152" 152 26500 0.00445 "inventonahora"
"153" 153 26200 0.00405 "inventonahora"
"154" 154 28000 0.00439 "inventonahora"
"155" 155 24800 0.00366 "inventonahora"
"156" 156 20700 0.00335 "inventonahora"
"157" 157 21600 0.00329 "inventonahora"
"158" 158 24700 0.00364 "inventonahora"
"159" 159 20300 0.00275 "inventonahora"
"160" 160 19800 0.00271 "inventonahora"
"161" 161 23000 0.00323 "inventonahora"
"162" 162 22800 0.00347 "inventonahora"
"163" 163 22800 0.0034 "inventonahora"
"164" 164 24300 0.00376 "inventonahora"
"165" 165 27000 0.00404 "inventonahora"
"166" 166 19200 0.00292 "inventonahora"
"167" 167 15200 0.0028 "inventonahora"
"168" 168 19100 0.00331 "inventonahora"
"169" 169 17800 0.00326 "inventonahora"
"170" 170 17600 0.00281 "inventonahora"
"171" 171 17800 0.0031 "inventonahora"
"172" 172 21300 0.00444 "inventonahora"
"173" 173 20500 0.00367 "inventonahora"
"174" 174 17400 0.00272 "inventonahora"
"175" 175 17000 0.00265 "inventonahora"
"176" 176 18100 0.00285 "inventonahora"
"177" 177 18200 0.00323 "inventonahora"
"178" 178 28400 0.00513 "inventonahora"
"179" 179 29300 0.00472 "inventonahora"
"180" 180 25700 0.00416 "inventonahora"
"181" 181 19000 0.004 "inventonahora"
"182" 182 22000 0.00433 "inventonahora"
"183" 183 25000 0.00634 "inventonahora"
"184" 184 22000 0.00608 "inventonahora"
"185" 185 21000 0.00466 "inventonahora"
"186" 186 25000 0.00466 "inventonahora"
"187" 187 28000 0.00589 "inventonahora"
"188" 188 35000 0.00887 "inventonahora"
"189" 189 65000 0.02652 "inventonahora"
"190" 190 58000 0.01654 "inventonahora"
"191" 191 56000 0.01732 "inventonahora"
"192" 192 48000 0.01204 "inventonahora"
"193" 193 45000 0.01165 "inventonahora"
"194" 194 49000 0.01046 "inventonahora"
"195" 195 36000 0.00691 "inventonahora"
"196" 196 32000 0.00666 "inventonahora"
"197" 197 32000 0.0067 "inventonahora"
"198" 198 31000 0.0073 "inventonahora"
"199" 199 30000 0.00562 "inventonahora"
"200" 200 32000 0.00693 "inventonahora"
"201" 201 31000 0.00595 "inventonahora"
"202" 202 28000 0.00605 "inventonahora"
"203" 203 27000 0.0053 "inventonahora"
"204" 204 26000 0.00512 "inventonahora"
"205" 205 28000 0.00521 "inventonahora"
"206" 206 27000 0.00501 "inventonahora"
"207" 207 30000 0.00523 "inventonahora"
"208" 208 31000 0.00548 "inventonahora"
"209" 209 38000 0.01172 "inventonahora"
"210" 210 46000 0.00797 "inventonahora"
"211" 211 42000 0.00923 "inventonahora"
"212" 212 36000 0.00891 "inventonahora"
"213" 213 30000 0.00663 "inventonahora"
"214" 214 33000 0.00792 "inventonahora"
"215" 215 33000 0.00777 "inventonahora"
"216" 216 30000 0.00661 "inventonahora"
"217" 217 44000 0.01142 "inventonahora"
"218" 218 37000 0.01013 "inventonahora"
"219" 219 31000 0.00816 "inventonahora"
"220" 220 31000 0.00657 "inventonahora"
"221" 221 32000 0.00832 "inventonahora"
"222" 222 33000 0.00794 "inventonahora"
"223" 223 31000 0.00646 "inventonahora"
"224" 224 29000 0.00664 "inventonahora"
"225" 225 33000 0.00669 "inventonahora"
"226" 226 30000 0.00651 "inventonahora"
"227" 227 29000 0.00507 "inventonahora"
"228" 228 30000 0.00503 "inventonahora"
"229" 229 29000 0.00505 "inventonahora"
"230" 230 34000 0.0057 "inventonahora"
"231" 231 28000 0.00501 "inventonahora"
"232" 232 26000 0.00435 "inventonahora"
"233" 233 26000 0.00446 "inventonahora"
"234" 234 27000 0.00426 "inventonahora"
"235" 235 37000 0.00542 "inventonahora"
"236" 236 42000 0.00587 "inventonahora"
"237" 237 35000 0.0096 "inventonahora"
"238" 238 33000 0.0071 "inventonahora"
"239" 239 29000 0.00547 "inventonahora"
"240" 240 29000 0.00522 "inventonahora"
"241" 241 37000 0.00502 "inventonahora"
"242" 242 39000 0.00536 "inventonahora"
"243" 243 35000 0.00506 "inventonahora"
"244" 244 32000 0.00478 "inventonahora"
"245" 245 38000 0.0058 "inventonahora"
"246" 246 31000 0.00485 "inventonahora"
"247" 247 31000 0.00484 "inventonahora"
"248" 248 31000 0.00457 "inventonahora"
"249" 249 30000 0.00447 "inventonahora"
"250" 250 44000 0.00732 "inventonahora"
"251" 251 54000 0.01033 "inventonahora"
"252" 252 39000 0.01082 "inventonahora"
"253" 253 35000 0.00863 "inventonahora"
"254" 254 42000 0.00846 "inventonahora"
"255" 255 37000 0.00652 "inventonahora"
"256" 256 38000 0.00663 "inventonahora"
"257" 257 37000 0.00575 "inventonahora"
"258" 258 33000 0.00542 "inventonahora"
"259" 259 32000 0.0052 "inventonahora"
"260" 260 30000 0.00442 "inventonahora"
"261" 261 25000 0.00473 "inventonahora"
"262" 262 60000 0.01627 "inventonahora"
"263" 263 134000 0.02462 "inventonahora"
"264" 264 56000 0.01839 "inventonahora"
"265" 265 45000 0.01027 "inventonahora"
"266" 266 40000 0.00769 "inventonahora"
"267" 267 37000 0.00777 "inventonahora"
"268" 268 40000 0.00999 "inventonahora"
"269" 269 35000 0.00764 "inventonahora"
"270" 270 34000 0.00699 "inventonahora"
"271" 271 33000 0.00626 "inventonahora"
"272" 272 28000 0.00596 "inventonahora"
"273" 273 27000 0.00523 "inventonahora"
"274" 274 27000 0.00568 "inventonahora"
"275" 275 33000 0.00604 "inventonahora"
"276" 276 56000 0.01119 "inventonahora"
"277" 277 42000 0.01135 "inventonahora"
"278" 278 47000 0.01137 "inventonahora"
"279" 279 37000 0.00796 "inventonahora"
"280" 280 37000 0.00755 "inventonahora"
"281" 281 35000 0.00806 "inventonahora"
"282" 282 34000 0.00668 "inventonahora"
"283" 283 29000 0.00559 "inventonahora"
"284" 284 32000 0.00606 "inventonahora"
"285" 285 30000 0.00522 "inventonahora"
"286" 286 31000 0.00498 "inventonahora"
"287" 287 48000 0.01239 "inventonahora"
"288" 288 54000 0.02232 "inventonahora"
"289" 289 37000 0.01333 "inventonahora"
"290" 290 35000 0.0083 "inventonahora"
"291" 291 34000 0.00753 "inventonahora"
"292" 292 35000 0.00756 "inventonahora"
"293" 293 33000 0.00624 "inventonahora"
"294" 294 31000 0.00549 "inventonahora"
"295" 295 40000 0.006 "inventonahora"
"296" 296 44000 0.0117 "inventonahora"
"297" 297 42000 0.01307 "inventonahora"
"298" 298 40000 0.01205 "inventonahora"
"299" 299 40000 0.01291 "inventonahora"
"300" 300 38000 0.01082 "inventonahora"
"301" 301 46000 0.01055 "inventonahora"
"302" 302 38000 0.00986 "inventonahora"
"303" 303 33000 0.00931 "inventonahora"
"304" 304 33000 0.00867 "inventonahora"
"305" 305 36000 0.0105 "inventonahora"
"306" 306 39000 0.00701 "inventonahora"
"307" 307 32000 0.01396 "inventonahora"
"308" 308 60000 0.02145 "inventonahora"
"309" 309 66000 0.01539 "inventonahora"
"310" 310 53000 0.01154 "inventonahora"
"311" 311 46000 0.01026 "inventonahora"
"312" 312 44000 0.01254 "inventonahora"
"313" 313 54000 0.01246 "inventonahora"
"314" 314 47000 0.01013 "inventonahora"
"315" 315 41000 0.01246 "inventonahora"
"316" 316 44000 0.01716 "inventonahora"
"317" 317 47000 0.02142 "inventonahora"
"318" 318 69000 0.02107 "inventonahora"
"319" 319 63000 0.02136 "inventonahora"
"320" 320 60000 0.01715 "inventonahora"
"321" 321 52000 0.01608 "inventonahora"
"322" 322 49000 0.01875 "inventonahora"
"323" 323 57000 0.01443 "inventonahora"
"324" 324 59000 0.01381 "inventonahora"
"325" 325 44000 0.0154 "inventonahora"
"326" 326 53000 0.01306 "inventonahora"
"327" 327 52000 0.01171 "inventonahora"
"328" 328 48000 0.01177 "inventonahora"
"329" 329 42000 0.01146 "inventonahora"
"330" 330 47000 0.00979 "inventonahora"
"331" 331 42000 0.01821 "inventonahora"
"332" 332 63000 0.01753 "inventonahora"
"333" 333 60000 0.01136 "inventonahora"
"334" 334 48000 0.01055 "inventonahora"
"335" 335 42000 0.02295 "inventonahora"
"336" 336 62000 0.03395 "inventonahora"
"337" 337 139000 0.02218 "inventonahora"
"338" 338 71000 0.02601 "inventonahora"
"339" 339 60000 0.01871 "inventonahora"
"340" 340 57000 0.03707 "inventonahora"
"341" 341 82000 0.02664 "inventonahora"
"342" 342 70000 0.02003 "inventonahora"
"343" 343 58000 0.03572 "inventonahora"
"344" 344 95000 0.03431 "inventonahora"
"345" 345 98000 0.0236 "inventonahora"
"346" 346 73000 0.01889 "inventonahora"
"347" 347 65000 0.01693 "inventonahora"
"348" 348 58000 0.0153 "inventonahora"
"349" 349 49000 0.04113 "inventonahora"
"350" 350 90000 0.05329 "inventonahora"
"351" 351 158000 0.03474 "inventonahora"
"352" 352 96000 0.0428 "inventonahora"
"353" 353 105000 0.05748 "inventonahora"
"354" 354 118000 0.05694 "inventonahora"
"355" 355 126000 0.04703 "inventonahora"
"356" 356 134000 0.04426 "inventonahora"
"357" 357 103000 0.04947 "inventonahora"
"358" 358 119000 0.05434 "inventonahora"
"359" 359 129000 0.04397 "inventonahora"
"360" 360 91000 0.03017 "inventonahora"
"361" 361 80000 0.04298 "inventonahora"
"362" 362 133000 0.04092 "inventonahora"
"363" 363 129000 0.03819 "inventonahora"
"364" 364 98000 0.03705 "inventonahora"
"365" 365 93000 0.03396 "inventonahora"
"366" 366 95000 0.03718 "inventonahora"
"367" 367 109000 0.03873 "inventonahora"
"368" 368 89000 0.02853 "inventonahora"
"369" 369 89000 0.03423 "inventonahora"
"370" 370 108000 0.03228 "inventonahora"
"371" 371 70000 0.02609 "inventonahora"
"372" 372 60000 0.02968 "inventonahora"
"373" 373 60000 0.03293 "inventonahora"
"374" 374 55000 0.02891 "inventonahora"
"375" 375 65000 0.03816 "inventonahora"
"376" 376 94000 0.03573 "inventonahora"
"377" 377 73000 0.02994 "inventonahora"
"378" 378 56000 0.02573 "inventonahora"
"379" 379 48000 0.04089 "inventonahora"
"380" 380 84000 0.0755 "inventonahora"
"381" 381 252000 0.0469 "inventonahora"
"382" 382 174000 0.0483 "inventonahora"
"383" 383 147000 0.03773 "inventonahora"
"384" 384 145000 0.02759 "inventonahora"
"385" 385 124000 0.03272 "inventonahora"
"386" 386 100000 0.03508 "inventonahora"
"387" 387 77000 0.02506 "inventonahora"
"388" 388 94000 0.02658 "inventonahora"
"389" 389 99000 0.0206 "inventonahora"
"390" 390 82000 0.02023 "inventonahora"
"391" 391 73000 0.01994 "inventonahora"
"392" 392 66000 0.02036 "inventonahora"
"393" 393 83000 0.02826 "inventonahora"
"394" 394 125000 0.02068 "inventonahora"
"395" 395 85000 0.01496 "inventonahora"
"396" 396 75000 0.01437 "inventonahora"
"397" 397 74000 0.01375 "inventonahora"
"398" 398 72000 0.01895 "inventonahora"
"399" 399 81000 0.0284 "inventonahora"
"400" 400 158000 0.01917 "inventonahora"
"401" 401 95000 0.01463 "inventonahora"
"402" 402 79000 0.01309 "inventonahora"
"403" 403 72000 0.01506 "inventonahora"
"404" 404 78000 0.01357 "inventonahora"
"405" 405 82000 0.01635 "inventonahora"
"406" 406 95000 0.02336 "inventonahora"
"407" 407 144000 0.01472 "inventonahora"
"408" 408 78000 0.01416 "inventonahora"
"409" 409 69000 0.03167 "inventonahora"
"410" 410 67000 0.02096 "inventonahora"
"411" 411 69000 0.01564 "inventonahora"
"412" 412 71000 0.02732 "inventonahora"
"413" 413 88000 0.03719 "inventonahora"
"414" 414 97000 0.02376 "inventonahora"
"415" 415 76000 0.02256 "inventonahora"
"416" 416 80000 0.01572 "inventonahora"
"417" 417 75000 0.01594 "inventonahora"
"418" 418 77000 0.01683 "inventonahora"
"419" 419 80000 0.02324 "inventonahora"
"420" 420 96000 0.04274 "inventonahora"
"421" 421 183000 0.02907 "inventonahora"
"422" 422 113000 0.02625 "inventonahora"
"423" 423 111000 0.02128 "inventonahora"
"424" 424 115000 0.0225 "inventonahora"
"425" 425 101000 0.02579 "inventonahora"
"426" 426 119000 0.03816 "inventonahora"
"427" 427 146000 0.03597 "inventonahora"
"428" 428 124000 0.03757 "inventonahora"
"429" 429 114000 0.02946 "inventonahora"
"430" 430 105000 0.03218 "inventonahora"
"431" 431 145000 0.03477 "inventonahora"
"432" 432 174000 0.02398 "inventonahora"
"433" 433 125000 0.0188 "inventonahora"
"434" 434 93000 0.0204 "inventonahora"
"435" 435 98000 0.04761 "inventonahora"
"436" 436 102000 0.03179 "inventonahora"
"437" 437 100000 0.03391 "inventonahora"
"438" 438 108000 0.04633 "inventonahora"
"439" 439 137000 0.06141 "inventonahora"
"440" 440 162000 0.04922 "inventonahora"
"441" 441 142000 0.03786 "inventonahora"
"442" 442 135000 0.03404 "inventonahora"
"443" 443 130000 0.04773 "inventonahora"
"444" 444 177000 0.04249 "inventonahora"
"445" 445 171000 0.03347 "inventonahora"
"446" 446 141000 0.02739 "inventonahora"
"447" 447 114000 0.02578 "inventonahora"
"448" 448 99000 0.0251 "inventonahora"
"449" 449 94000 0.03031 "inventonahora"
"450" 450 100000 0.04399 "inventonahora"
"451" 451 104000 0.03556 "inventonahora"
"452" 452 104000 0.05669 "inventonahora"
"453" 453 137000 0.04733 "inventonahora"
"454" 454 128000 0.03661 "inventonahora"
"455" 455 99000 0.027 "inventonahora"
"456" 456 92000 0.03053 "inventonahora"
"457" 457 89000 0.02794 "inventonahora"
"458" 458 82000 0.03931 "inventonahora"
"459" 459 117000 0.06104 "inventonahora"
"460" 460 147000 0.04306 "inventonahora"
"461" 461 138000 0.0447 "inventonahora"
"462" 462 112000 0.03418 "inventonahora"
"463" 463 106000 0.02706 "inventonahora"
"464" 464 94000 0.03368 "inventonahora"
"465" 465 115000 0.03258 "inventonahora"
"466" 466 112000 0.04796 "inventonahora"
"467" 467 205000 0.05984 "inventonahora"
"468" 468 373000 0.03669 "inventonahora"
"469" 469 156000 0.02687 "inventonahora"
"470" 470 114000 0.0266 "inventonahora"
"471" 471 112000 0.03149 "inventonahora"
"472" 472 119000 0.02426 "inventonahora"
"473" 473 104000 0.02274 "inventonahora"
"474" 474 100000 0.02449 "inventonahora"
"475" 475 108000 0.03612 "inventonahora"
"476" 476 147000 0.04564 "inventonahora"
"477" 477 189000 0.04831 "inventonahora"
"478" 478 154000 0.03819 "inventonahora"
"479" 479 131000 0.02784 "inventonahora"
"480" 480 108000 0.02545 "inventonahora"
"481" 481 108000 0.02496 "inventonahora"
