DIAS,VIEWS,INSCRITOS,CANAL,CATEGORIA,,,,,,,
8,397220,3160,BelezaTeen,Humor,,,,,,,
9,625640,5830,BelezaTeen,Humor,,,,,,,
10,1140000,18020,BelezaTeen,Humor,,,,,,,
11,2240000,30400,BelezaTeen,Humor,,,,,,,
12,2910000,37120,BelezaTeen,Humor,,,,,,,
13,2630000,30760,BelezaTeen,Humor,,,,,,,
14,4230000,42390,BelezaTeen,Humor, ,,,,,,
1,132150,2320,DicadaKa,beleza,,,,,,,
2,116260,1910,DicadaKa,beleza,,,,,,,
3,308680,6160,DicadaKa,beleza, ,,,,,,
4,173400,3170,DicadaKa,beleza, ,,,,,,
5,143160,4120,DicadaKa,beleza,,,,,,,
6,213400,4920,DicadaKa,beleza,,,,,,,
7,141140,3390,DicadaKa,beleza,,,,,,,
8,294800,8410,DicadaKa,beleza,,,,,,,
9,356430,10590,DicadaKa,beleza,,,,,,,
10,4770000,89720,DicadaKa,beleza,,,,,,,
11,2240000,27960,DicadaKa,beleza,,,,,,,
12,1660000,17860,DicadaKa,beleza,,,,,,,
1,1470,95,Nahcardoso,beleza,,,,,,,
2,1080,55,Nahcardoso,beleza,,,,,,,
3,1550,83,Nahcardoso,beleza,,,,,,,
4,1380,76,Nahcardoso,beleza,,,,,,,
5,1350,68,Nahcardoso,beleza,,,,,,,
6,1480,72,Nahcardoso,beleza,,,,,,,
7,2120,102,Nahcardoso,beleza,,,,,,,
8,9880,476,Nahcardoso,beleza,,,,,,,
9,3350,121,Nahcardoso,beleza,,,,,,,
10,2020,95,Nahcardoso,beleza,,,,,,,
11,1430,139,Nahcardoso,beleza,,,,,,,
12,6280,6150,Nahcardoso,beleza,,,,,,,
13,87190,6190,Nahcardoso,beleza,,,,,,,
14,145210,7760,Nahcardoso,beleza,,,,,,,
15,167500,7320,Nahcardoso,beleza,,,,,,,
16,378130,11500,Nahcardoso,beleza,,,,,,,
17,299600,11000,Nahcardoso,beleza,,,,,,,
18,261320,10160,Nahcardoso,beleza,,,,,,,
19,385930,11870,Nahcardoso,beleza,,,,,,,
20,455970,18000,Nahcardoso,beleza,,,,,,,
21,336240,11860,Nahcardoso,beleza,,,,,,,
22,375430,19320,Nahcardoso,beleza,,,,,,,
1,23780,1410,Depoisdas11,Humor,,,,,,,
2,48340,2720,Depoisdas11,Humor, ,,,,,,
3,48420,2560,Depoisdas11,Humor,,,,,,,
4,22530,672,Depoisdas11,Humor,,,,,,,
5,11860,415,Depoisdas11,Humor,,,,,,,
6,11560,441,Depoisdas11,Humor,,,,,,,
7,17640,550,Depoisdas11,Humor,,,,,,,
8,11980,333,Depoisdas11,Humor,,,,,,,
9,12530,348,Depoisdas11,Humor,,,,,,,
10,36040,1170,Depoisdas11,Humor,,,,,,,
11,36440,1220,Depoisdas11,Humor,,,,,,,
12,19980,683,Depoisdas11,Humor,,,,,,,
13,33550,821,Depoisdas11,Humor,,,,,,,
14,100630,2280,Depoisdas11,Humor,,,,,,,
15,103630,2830,Depoisdas11,Humor,,,,,,,
16,159070,3250,Depoisdas11,Humor,,,,,,,
17,160970,3970,Depoisdas11,Humor,,,,,,,
18,681180,40560,Depoisdas11,Humor,,,,,,,
19,989690,29230,Depoisdas11,Humor,,,,,,,
1,206800,7450,fafismelo,Humor,,,,,,,
2,310930,11550,fafismelo,Humor,,,,,,,
3,484530,13750,fafismelo,Humor,,,,,,,
